event_id,time,latitude,longitude,depth_km,magnitude,distance_from_previous_km
cluster_1996_June,1996-06-15 12:00:00,30.046416666666662,88.11516666666667,33.0,4.3,12.534716760340036
cluster_1996_July,1996-07-15 12:00:00,27.6865,92.20599999999999,58.1,4.7,477.1254611678968
cluster_1996_August,1996-08-15 12:00:00,30.2481875,88.10671875,33.0,4.2,490.0926734949222
cluster_1996_September,1996-09-15 12:00:00,30.086599999999997,88.05279999999999,33.0,4.1,18.65056189741588
cluster_1996_October,1996-10-15 12:00:00,27.365333333333336,92.582,33.0,4.6,535.4044809368609
cluster_1997_January,1997-01-15 12:00:00,27.337,86.5715,33.0,4.3,594.6578927152319
cluster_1997_February,1997-02-15 12:00:00,27.949333333333332,85.15500000000002,10.0,4.4,155.3828321097312
cluster_1997_March,1997-03-15 12:00:00,27.866999999999997,85.036,23.25,3.8499999999999996,14.848841394679864
cluster_1997_April,1997-04-15 12:00:00,27.5655,85.5345,38.9,4.6,59.43977908764474
cluster_1997_August,1997-08-15 12:00:00,29.511,87.85733333333333,33.0,4.1,313.3044293708534
cluster_1997_October,1997-10-15 12:00:00,29.4955,88.1705,33.0,4.449999999999999,30.41419509884258
cluster_1997_December,1997-12-15 12:00:00,27.679,87.554,33.0,4.65,210.15854632408127
cluster_1998_March,1998-03-15 12:00:00,27.889,86.706,33.0,4.5,86.75575528544228
cluster_1998_June,1998-06-15 12:00:00,29.4845,81.75,33.0,3.55,515.5649047679457
cluster_1998_July,1998-07-15 12:00:00,30.375500000000002,89.2535,33.0,4.8,731.0515284679991
cluster_1998_August,1998-08-15 12:00:00,30.2586,88.0586,33.0,4.2,115.65101021414027
cluster_1998_September,1998-09-15 12:00:00,30.06131578947368,88.09073684210526,33.0,4.4,22.08799206962811
cluster_1998_October,1998-10-15 12:00:00,27.6492,86.88840000000002,33.0,4.300000000000001,291.9446798778345
cluster_1998_November,1998-11-15 12:00:00,30.304000000000002,88.2265,39.45,4.65,321.84172572433255
cluster_1999_April,1999-04-15 12:00:00,30.025000000000002,79.18954545454547,10.0,4.6,870.8199122139139
cluster_1999_May,1999-05-15 12:00:00,30.32528571428571,79.32642857142858,10.0,4.9,35.80404798064846
cluster_1999_June,1999-06-15 12:00:00,30.2145,79.332,21.5,4.55,12.293067793048385
cluster_2000_January,2000-01-15 12:00:00,30.84,86.79966666666667,33.0,4.0,719.8972925775456
cluster_2000_February,2000-02-15 12:00:00,27.809,92.38166666666667,33.0,4.55,637.6965004989562
cluster_2000_May,2000-05-15 12:00:00,31.9865,78.688,33.0,4.1,1400.035896695061
cluster_2000_June,2000-06-15 12:00:00,30.849666666666668,87.142,33.0,4.1,813.447907858789
cluster_2000_July,2000-07-15 12:00:00,31.590666666666667,78.70766666666667,33.0,3.7,807.6407026251926
cluster_2000_November,2000-11-15 12:00:00,29.2715,81.67699999999999,33.0,4.449999999999999,383.98430605734643
cluster_2001_March,2001-03-15 12:00:00,30.9905,78.1505,27.1,4.15,389.5610125893058
cluster_2001_May,2001-05-15 12:00:00,28.573199999999996,87.34240000000001,33.0,4.6,927.9868543379836
cluster_2001_July,2001-07-15 12:00:00,31.409,85.75450000000001,63.35,4.3,349.69548978150635
cluster_2001_December,2001-12-15 12:00:00,29.45416666666667,81.68433333333334,33.0,4.949999999999999,446.99256980344586
cluster_2002_February,2002-02-15 12:00:00,29.893,87.8905,36.3,4.0,602.6513093940408
cluster_2002_April,2002-04-15 12:00:00,29.850250000000003,88.01474999999999,33.0,4.35,12.9053620870575
cluster_2002_May,2002-05-15 12:00:00,29.385333333333335,87.26366666666667,33.0,4.2,89.1491843323015
cluster_2002_June,2002-06-15 12:00:00,30.216500000000003,86.55725,33.3,4.199999999999999,114.68539416813496
cluster_2002_July,2002-07-15 12:00:00,30.450333333333333,81.36444444444444,33.0,4.4,499.97927240104576
cluster_2002_August,2002-08-15 12:00:00,28.956,87.70775,33.0,3.95,635.7035824630505
cluster_2002_September,2002-09-15 12:00:00,29.911,87.934,33.0,4.5,108.10734123988007
cluster_2002_December,2002-12-15 12:00:00,29.709,90.47399999999999,10.0,4.6,246.55431632193873
cluster_2003_January,2003-01-15 12:00:00,29.8726,88.2252,33.0,4.2,218.1833765582031
cluster_2003_June,2003-06-15 12:00:00,27.0345,92.5625,61.849999999999994,4.0,528.5089158195833
cluster_2003_September,2003-09-15 12:00:00,30.28,81.404,33.0,4.25,1147.9737307632702
cluster_2003_December,2003-12-15 12:00:00,28.25866666666667,83.76899999999999,32.3,4.3,320.95427536702294
cluster_2004_March,2004-03-15 12:00:00,27.744,87.709,44.4,4.75,391.6964443407748
cluster_2004_April,2004-04-15 12:00:00,30.52633333333333,81.36333333333333,58.6,4.0,690.0603245281724
