Year,From_Cluster,To_Cluster,From_Time,To_Time,From_Lat,From_Lon,To_Lat,To_Lon,Bearing_Degrees,Angle_wrt_X_Axis,Direction
1993,6,7,1993-07-03 02:00:22.230000+00:00,1993-07-06 20:07:49.880000+00:00,28.423000000000002,86.737,31.8765,81.9755,311.17,138.83,NW
1993,7,8,1993-07-06 20:07:49.880000+00:00,1993-09-12 08:03:36.870000+00:00,31.8765,81.9755,31.176000000000002,83.73733333333332,114.54,335.46,SE
1993,8,9,1993-09-12 08:03:36.870000+00:00,1993-10-20 07:23:38.640000+00:00,31.176000000000002,83.73733333333332,28.749499999999998,82.268,208.05,241.95,SW
1995,1,2,1995-01-19 06:33:15.330000+00:00,1995-02-02 10:40:31.280000+00:00,28.599,83.418,30.126333333333335,88.12275,68.43,21.57,E
1995,2,3,1995-02-02 10:40:31.280000+00:00,1995-03-26 18:22:35.180000+00:00,30.126333333333335,88.12275,27.421000000000003,92.27633333333334,125.6,324.4,SE
1995,3,4,1995-03-26 18:22:35.180000+00:00,1995-04-17 01:32:45.040000+00:00,27.421000000000003,92.27633333333334,29.784333333333333,81.502,286.57,163.43,W
1995,4,5,1995-04-17 01:32:45.040000+00:00,1995-06-28 21:46:52.200000+00:00,29.784333333333333,81.502,31.113,86.786,72.41,17.59,E
1995,5,6,1995-06-28 21:46:52.200000+00:00,1995-08-07 00:12:21.770000+00:00,31.113,86.786,29.976,81.64099999999999,256.93,193.07,W
1996,1,2,1996-01-11 15:29:53.540000+00:00,1996-01-23 17:34:41+00:00,28.92,86.423,30.58966666666667,79.236,286.75,163.25,W
1996,2,3,1996-01-23 17:34:41+00:00,1996-02-18 19:19:24.080000+00:00,30.58966666666667,79.236,30.11366666666667,84.01299999999999,95.38,354.62,E
1996,3,4,1996-02-18 19:19:24.080000+00:00,1996-03-12 21:20:15.270000+00:00,30.11366666666667,84.01299999999999,30.086392156862743,88.12772549019608,89.41,0.59,E
1996,4,5,1996-03-12 21:20:15.270000+00:00,1996-05-21 00:35:44.410000+00:00,30.086392156862743,88.12772549019608,29.067999999999998,91.8805,106.4,343.6,E
1996,5,6,1996-05-21 00:35:44.410000+00:00,1996-05-21 19:51:38.140000+00:00,29.067999999999998,91.8805,26.9152,92.4302,167.16,282.84,S
1996,6,7,1996-05-21 19:51:38.140000+00:00,1996-07-03 06:44:45.550000+00:00,26.9152,92.4302,30.1605,88.1835,312.02,137.98,NW
1996,7,8,1996-07-03 06:44:45.550000+00:00,1996-07-10 17:41:35.230000+00:00,30.1605,88.1835,29.338,81.67250000000001,263.35,186.65,W
1996,8,9,1996-07-10 17:41:35.230000+00:00,1996-07-23 21:51:37.640000+00:00,29.338,81.67250000000001,31.345,87.69800000000001,67.39,22.61,NE
1996,9,10,1996-07-23 21:51:37.640000+00:00,1996-09-11 23:14:14.950000+00:00,31.345,87.69800000000001,27.5445,92.62700000000001,130.29,319.71,SE
1996,10,11,1996-09-11 23:14:14.950000+00:00,1996-09-14 02:12:07.230000+00:00,27.5445,92.62700000000001,30.594,78.44550000000001,287.21,162.79,W
1997,1,2,1997-01-08 19:56:12.580000+00:00,1997-01-25 20:08:28.740000+00:00,30.258499999999998,87.906,29.996000000000002,88.207,135.16,314.84,SE
1997,2,3,1997-01-25 20:08:28.740000+00:00,1997-01-31 17:09:15.910000+00:00,29.996000000000002,88.207,27.942500000000003,85.10249999999999,233.67,216.33,SW
1997,3,4,1997-01-31 17:09:15.910000+00:00,1997-01-31 20:55:53.180000+00:00,27.942500000000003,85.10249999999999,27.879333333333335,85.06400000000001,208.32,241.68,SW
1997,4,5,1997-01-31 20:55:53.180000+00:00,1997-03-10 17:50:36.950000+00:00,27.879333333333335,85.06400000000001,27.299500000000002,92.5635,93.24,356.76,E
1997,5,6,1997-03-10 17:50:36.950000+00:00,1997-04-05 17:31:51.200000+00:00,27.299500000000002,92.5635,30.057499999999997,86.14150000000001,297.6,152.4,NW
1997,6,7,1997-04-05 17:31:51.200000+00:00,1997-04-07 13:00:42.180000+00:00,30.057499999999997,86.14150000000001,27.58,86.5215,172.25,277.75,S
1997,7,8,1997-04-07 13:00:42.180000+00:00,1997-11-27 16:11:57.070000+00:00,27.58,86.5215,27.5465,87.261,92.75,357.25,E
1998,1,2,1998-02-01 17:32:48.220000+00:00,1998-02-22 22:45:24.880000+00:00,27.8187,86.761,30.156824999999998,88.084225,26.02,63.98,NE
1998,2,3,1998-02-22 22:45:24.880000+00:00,1998-03-19 17:01:32.730000+00:00,30.156824999999998,88.084225,31.1185,77.73599999999999,278.79,171.21,W
1998,3,4,1998-03-19 17:01:32.730000+00:00,1998-06-06 11:06:27.170000+00:00,31.1185,77.73599999999999,30.375500000000002,89.2535,91.33,358.67,E
1998,4,5,1998-06-06 11:06:27.170000+00:00,1998-07-08 03:44:59.330000+00:00,30.375500000000002,89.2535,27.439999999999998,91.00200000000001,152.03,297.97,SE
1998,5,6,1998-07-08 03:44:59.330000+00:00,1998-07-20 01:05:58.350000+00:00,27.439999999999998,91.00200000000001,30.1065,88.14099999999999,317.44,132.56,NW
1998,6,7,1998-07-20 01:05:58.350000+00:00,1998-09-26 18:27:05.470000+00:00,30.1065,88.14099999999999,27.756,92.76050000000001,119.04,330.96,SE
1998,7,8,1998-09-26 18:27:05.470000+00:00,1998-11-26 10:14:27.630000+00:00,27.756,92.76050000000001,27.844,87.7715,272.31,177.69,W
1999,1,2,1999-03-28 19:36:05.510000+00:00,1999-04-02 07:41:25.880000+00:00,30.30394117647059,79.34070588235294,32.346500000000006,92.024,76.06,13.94,E
1999,2,3,1999-04-02 07:41:25.880000+00:00,1999-09-12 09:00:08.160000+00:00,32.346500000000006,92.024,31.179000000000002,77.483,268.48,181.52,W
1999,3,4,1999-09-12 09:00:08.160000+00:00,1999-10-03 06:38:41.980000+00:00,31.179000000000002,77.483,30.243000000000002,87.9025,93.28,356.72,E
2000,1,2,2000-01-02 10:23:58.980000+00:00,2000-01-05 13:08:17.760000+00:00,27.611,92.56450000000001,32.242,92.851,3.0,87.0,N
2000,2,3,2000-01-05 13:08:17.760000+00:00,2000-01-11 09:40:09.960000+00:00,32.242,92.851,31.2515,86.6,261.1,188.9,W
2000,3,4,2000-01-11 09:40:09.960000+00:00,2000-01-25 16:37:33.930000+00:00,31.2515,86.6,27.139499999999998,92.161,128.88,321.12,SE
2000,4,5,2000-01-25 16:37:33.930000+00:00,2000-01-25 17:29:56.880000+00:00,27.139499999999998,92.161,27.5875,92.581,39.68,50.32,NE
2000,5,6,2000-01-25 17:29:56.880000+00:00,2000-03-26 15:58:34.130000+00:00,27.5875,92.581,30.328000000000003,88.2115,306.68,143.32,NW
2000,6,7,2000-03-26 15:58:34.130000+00:00,2000-04-28 00:17:17.980000+00:00,30.328000000000003,88.2115,31.875333333333334,78.383,282.94,167.06,W
2000,7,8,2000-04-28 00:17:17.980000+00:00,2000-05-23 18:29:17.550000+00:00,31.875333333333334,78.383,30.895,87.221,95.08,354.92,E
