time,lat,lon,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2010-11-07T10:53:18.490Z,30.909,84.509,50.1,4,mb,23,144.8,,1.2,us,usp000hp82,2014-11-07T01:42:52.989Z,"188 km NNW of Saga, China",earthquake,,13.4,,6,reviewed,us,us
2010-10-28T07:41:01.710Z,28.397,92.896,79.4,4.6,mb,37,109.7,,0.67,us,usp000hnpr,2014-11-07T01:42:46.565Z,"128 km NW of Ziro, India",earthquake,,,,9,reviewed,us,us
2010-10-18T04:26:51.270Z,28.492,85.647,43,4,mb,33,97.6,,0.77,us,usp000hn82,2014-11-07T01:42:43.666Z,"66 km NNW of Kod?ri??, Nepal",earthquake,,11.3,,5,reviewed,us,us
2010-10-17T20:11:18.460Z,28.487,85.677,41.1,4.9,mb,100,47.9,,0.93,us,usp000hn7q,2022-07-18T22:23:26.338Z,"64 km NNW of Kod?ri??, Nepal",earthquake,,8.4,,36,reviewed,us,us
2010-07-21T02:57:22.830Z,27.298,91.219,44.5,4.5,mb,64,103.9,,0.81,us,usp000hg94,2014-11-07T01:41:57.826Z,"3 km NW of Mongar, Bhutan",earthquake,,8.2,,26,reviewed,us,us
2010-07-10T10:15:45.190Z,29.318,86.981,42.3,4.6,mb,57,51.4,,0.99,us,usp000hf3r,2014-11-07T01:41:51.920Z,"152 km N of Lobujya, Nepal",earthquake,,9.4,,21,reviewed,us,us
2010-07-10T03:16:18.770Z,30.075,79.608,13.1,4.6,mb,40,52.2,,0.86,us,usp000hf3c,2014-11-07T01:41:51.852Z,"30 km NNW of B?geshwar, India",earthquake,,22.9,,11,reviewed,us,us
2010-07-06T19:08:25.870Z,29.841,80.397,32.8,5,mwc,133,47.5,,0.8,us,usp000hez9,2022-07-18T15:49:00.686Z,"11 km W of Dh?rchula, India",earthquake,,11.8,,,reviewed,us,gcmt
2010-07-06T09:31:44.090Z,27.682,92.674,69.7,4.3,mb,12,175.1,,0.72,us,usp000heym,2014-11-07T01:41:51.007Z,"52 km NNE of Bomdila, India",earthquake,,16,,2,reviewed,us,us
2010-07-05T02:04:07.220Z,31.064,80.538,10,4.8,mb,67,47.4,,1.04,us,usp000hex4,2014-11-07T01:41:50.747Z,"104 km NW of Burang, China",earthquake,,,,23,reviewed,us,us
2010-07-04T02:35:59.130Z,29.854,80.375,11.6,4.7,mb,78,80.5,,0.93,us,usp000hevm,2014-11-07T01:41:50.313Z,"13 km W of Dh?rchula, India",earthquake,,17.5,,36,reviewed,us,us
2010-06-22T23:14:10.840Z,29.872,80.428,16.3,5.2,mb,174,48.2,,0.95,us,usp000hed7,2022-05-02T22:00:00.088Z,"9 km WNW of Dh?rchula, India",earthquake,,10.2,,87,reviewed,us,us
2010-06-13T14:37:56.580Z,29.547,81.486,10,4.6,mb,30,146.1,,1.12,us,usp000hdy2,2014-11-07T01:41:40.848Z,"61 km ENE of Dipayal, Nepal",earthquake,,,,4,reviewed,us,us
2010-06-13T14:31:51.860Z,29.587,81.446,19,4.7,mb,86,37,,0.76,us,usp000hdy1,2014-11-07T01:41:40.842Z,"60 km NE of Dipayal, Nepal",earthquake,,14.7,,21,reviewed,us,us
