time,lat,lon,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-02-23T13:39:21.620Z,27.575,90.355,35,3.9,mb,20,118.4,,1.43,us,usp000fzs5,2014-11-07T01:35:02.189Z,"17 km WNW of Trongsa, Bhutan",earthquake,,,,2,reviewed,us,us
2008-02-13T01:36:10.530Z,31.408,86.358,24.7,3.6,mb,17,95.2,,1.02,us,usp000fyt1,2014-11-07T01:34:56.506Z,"255 km NNE of Saga, China",earthquake,,22,,3,reviewed,us,us
2008-02-12T18:24:34.160Z,31.493,86.708,12.8,3.7,mb,12,84.4,,1.37,us,usp000fysh,2014-11-07T01:34:56.437Z,"279 km NNE of Saga, China",earthquake,,51.4,,3,reviewed,us,us
2008-01-31T14:28:48.280Z,32.19,84.977,10,3.5,mb,13,143.7,,1.38,us,usp000fxvb,2014-11-07T01:34:47.382Z,western Xizang,earthquake,,,,1,reviewed,us,us
2008-01-30T16:35:53.350Z,32.261,85.108,10,4.5,mb,44,93.7,,1.09,us,usp000fxt0,2014-11-07T01:34:47.133Z,western Xizang,earthquake,,,,9,reviewed,us,us
2008-01-30T14:32:23.390Z,32.276,85.038,10,4,mb,30,74.6,,1.27,us,usp000fxst,2014-11-07T01:34:47.117Z,western Xizang,earthquake,,,,4,reviewed,us,us
2008-01-29T12:23:53.810Z,27.528,92.728,45.1,4.1,mb,18,120.3,,1.38,us,usp000fxpt,2014-11-07T01:34:46.684Z,"41 km NE of Bomdila, India",earthquake,,28.3,,5,reviewed,us,us
2008-01-27T20:57:38.300Z,30.341,83.492,35,3.5,mb,9,150.8,,1.17,us,usp000fxkb,2014-11-07T01:34:46.346Z,"173 km NE of Jumla, Nepal",earthquake,,,,2,reviewed,us,us
2008-01-27T08:03:15.800Z,32.428,85.425,10,4.7,mb,51,142.3,,0.66,us,usp000fxj7,2014-11-07T01:34:46.255Z,western Xizang,earthquake,,,,16,reviewed,us,us
2008-01-23T22:39:29.740Z,32.365,85.337,10,4.5,mb,47,140.2,,0.81,us,usp000fxaj,2014-11-07T01:34:45.385Z,western Xizang,earthquake,,,,16,reviewed,us,us
2008-01-23T10:35:43.110Z,32.364,85.144,10,4.7,mb,35,95.2,,1.44,us,usp000fx9f,2014-11-07T01:34:45.249Z,western Xizang,earthquake,,,,6,reviewed,us,us
2008-01-22T18:43:32.740Z,32.349,85.262,5.4,5.5,mwc,312,39.4,,1.13,us,usp000fx8b,2022-05-02T20:58:25.229Z,western Xizang,earthquake,,13.4,,,reviewed,us,gcmt
2008-01-22T13:43:09.670Z,32.168,85.143,10,4.7,mb,56,67.4,,0.99,us,usp000fx7r,2014-11-07T01:34:45.014Z,western Xizang,earthquake,,,,9,reviewed,us,us
2008-01-20T20:00:21.110Z,32.437,85.462,10,4.7,mb,62,142.2,,0.95,us,usp000fx3x,2014-11-07T01:34:44.205Z,western Xizang,earthquake,,,,25,reviewed,us,us
2008-01-20T18:04:10.960Z,32.406,85.141,10,3.3,mb,14,142.9,,1.18,us,usp000fx3k,2014-11-07T01:34:44.168Z,western Xizang,earthquake,,,,1,reviewed,us,us
2008-01-19T05:35:12.300Z,32.198,85.092,20.5,4.2,mb,32,136,,0.99,us,usp000fx0d,2014-11-07T01:34:43.748Z,western Xizang,earthquake,,20.9,,3,reviewed,us,us
2008-01-19T00:58:57.980Z,32.312,85.142,10,3.9,mb,12,143.1,,1.14,us,usp000fwzx,2014-11-07T01:34:43.715Z,western Xizang,earthquake,,,,1,reviewed,us,us
2008-01-18T22:46:35.420Z,32.274,85.353,10,4,mb,22,140.6,,1.16,us,usp000fwzj,2014-11-07T01:34:43.662Z,western Xizang,earthquake,,,,5,reviewed,us,us
2008-01-18T15:54:52.150Z,32.191,84.968,10,3.2,mb,9,213.6,,1.52,us,usp000fwyu,2014-11-07T01:34:43.564Z,western Xizang,earthquake,,,,1,reviewed,us,us
2008-01-17T07:09:56.490Z,32.343,85.418,10,4.9,mwc,83,94.8,,1.19,us,usp000fww0,2016-11-10T01:50:43.525Z,western Xizang,earthquake,,,,,reviewed,us,gcmt
2008-01-17T00:36:44.590Z,32.393,85.055,28.2,4.2,mb,40,93.7,,1.03,us,usp000fwvd,2014-11-07T01:34:43.061Z,western Xizang,earthquake,,16.3,,9,reviewed,us,us
2008-01-16T23:47:54.300Z,32.401,85.375,29.7,4,mb,34,142.5,,1.06,us,usp000fwv9,2014-11-07T01:34:43.047Z,western Xizang,earthquake,,18.5,,5,reviewed,us,us
2008-01-16T22:47:26.890Z,32.248,85.186,10,4.5,mb,16,143.2,,0.81,us,usp000fwv5,2014-11-07T01:34:43.027Z,western Xizang,earthquake,,,,4,reviewed,us,us
2008-01-16T20:36:55.640Z,32.312,85.12,10,4,mb,28,95.4,,1.31,us,usp000fwuv,2014-11-07T01:34:43.004Z,western Xizang,earthquake,,,,4,reviewed,us,us
2008-01-16T18:18:55.980Z,32.387,85.382,10,4.8,mb,37,142.5,,0.89,us,usp000fwuh,2014-11-07T01:34:42.903Z,western Xizang,earthquake,,,,8,reviewed,us,us
2008-01-16T15:16:15.080Z,32.262,84.973,10,4.4,mb,11,143.5,,1.16,us,usp000fwud,2014-11-07T01:34:42.893Z,western Xizang,earthquake,,,,1,reviewed,us,us
2008-01-16T12:52:47.120Z,32.218,85.115,10,3.8,mb,23,143.4,,1.07,us,usp000fwu5,2014-11-07T01:34:42.873Z,western Xizang,earthquake,,,,2,reviewed,us,us
2008-01-16T12:03:19.330Z,32.206,84.965,10,4.3,mb,14,143.7,,1.24,us,usp000fwu3,2014-11-07T01:34:42.870Z,western Xizang,earthquake,,,,1,reviewed,us,us
2008-01-16T11:54:44.120Z,32.331,85.158,9,5.9,mwc,389,25.3,,0.89,us,usp000fwu1,2022-05-02T20:58:00.354Z,western Xizang,earthquake,,,,,reviewed,us,gcmt
2008-01-15T23:15:26.390Z,32.243,85.24,10,3.5,mb,21,143.1,,1.01,us,usp000fwt2,2014-11-07T01:34:42.722Z,western Xizang,earthquake,,,,5,reviewed,us,us
2008-01-15T22:48:13.880Z,32.041,85.066,10,3.4,mb,21,143.9,,0.86,us,usp000fwsz,2014-11-07T01:34:42.710Z,western Xizang,earthquake,,,,2,reviewed,us,us
2008-01-14T03:36:14.900Z,32.388,85.102,10,3.8,mb,20,143,,0.92,us,usp000fwph,2014-11-07T01:34:42.031Z,western Xizang,earthquake,,,,3,reviewed,us,us
2008-01-14T03:21:41.850Z,32.312,85.146,10,4.9,mwc,113,56.2,,1.26,us,usp000fwpe,2016-11-10T01:50:40.036Z,western Xizang,earthquake,,,,,reviewed,us,gcmt
2008-01-11T23:42:03.230Z,32.301,85.361,10,4.9,mb,74,93.7,,0.94,us,usp000fwgs,2014-11-07T01:34:40.648Z,western Xizang,earthquake,,,,27,reviewed,us,us
2008-01-11T20:31:26.120Z,32.397,85.025,10,4.1,mb,22,143.1,,1.08,us,usp000fwgg,2014-11-07T01:34:40.564Z,western Xizang,earthquake,,,,6,reviewed,us,us
2008-01-11T13:08:18.690Z,31.992,84.688,10,3.4,mb,8,204.6,,1.5,us,usp000fwfr,2014-11-07T01:34:40.281Z,western Xizang,earthquake,,,,1,reviewed,us,us
2008-01-10T20:55:20.470Z,32.364,85.024,10,3.8,mb,13,143.2,,0.86,us,usp000fwe1,2014-11-07T01:34:40.086Z,western Xizang,earthquake,,,,1,reviewed,us,us
2008-01-10T13:40:25.040Z,32.292,85.034,10,3.2,mb,10,189.6,,0.9,us,usp000fwdf,2014-11-07T01:34:40.019Z,western Xizang,earthquake,,,,1,reviewed,us,us
2008-01-10T12:46:05.920Z,32.351,85.011,10,3.6,mb,13,143.2,,1.04,us,usp000fwdd,2014-11-07T01:34:40.015Z,western Xizang,earthquake,,,,1,reviewed,us,us
2008-01-10T11:19:16.580Z,32.226,84.796,10,3.6,mb,13,143.9,,0.96,us,usp000fwd9,2014-11-07T01:34:40.005Z,western Xizang,earthquake,,,,2,reviewed,us,us
2008-01-10T06:49:36.320Z,32.262,85.315,10,3.9,mb,24,135.6,,1.16,us,usp000fwd1,2014-11-07T01:34:39.975Z,western Xizang,earthquake,,,,1,reviewed,us,us
2008-01-09T18:28:02.420Z,32.332,85.132,10,4.2,mb,10,143.1,,0.81,us,usp000fwbn,2014-11-07T01:34:39.693Z,western Xizang,earthquake,,,,1,reviewed,us,us
2008-01-09T17:48:08.580Z,32.436,85.186,19.7,4.8,mb,86,135.7,,0.83,us,usp000fwbm,2014-11-07T01:34:39.656Z,western Xizang,earthquake,,15.7,,20,reviewed,us,us
2008-01-09T16:41:50.170Z,32.448,85.054,10,3.7,mb,20,142.9,,1.04,us,usp000fwbg,2014-11-07T01:34:39.639Z,western Xizang,earthquake,,,,2,reviewed,us,us
2008-01-09T13:54:11.380Z,32.293,85.147,10,5,mb,93,53.6,,0.99,us,usp000fwb6,2014-11-07T01:34:39.462Z,western Xizang,earthquake,,,,37,reviewed,us,us
2008-01-09T10:38:43.590Z,32.255,85.103,10,3.6,mb,17,143.3,,1.14,us,usp000fwat,2014-11-07T01:34:39.344Z,western Xizang,earthquake,,,,2,reviewed,us,us
2008-01-09T09:32:43.220Z,32.263,85.165,10,4.2,mb,33,129.4,,1.28,us,usp000fwap,2014-11-07T01:34:39.263Z,western Xizang,earthquake,,,,7,reviewed,us,us
2008-01-09T09:20:30.460Z,32.293,85.075,10,3.3,mb,14,143.3,,1.16,us,usp000fwan,2014-11-07T01:34:39.261Z,western Xizang,earthquake,,,,1,reviewed,us,us
2008-01-09T08:58:38.890Z,32.417,85.255,10,3.4,mb,12,148.1,,0.89,us,usp000fwam,2014-11-07T01:34:39.259Z,western Xizang,earthquake,,,,1,reviewed,us,us
2008-01-09T08:51:20.930Z,32.239,84.926,10,3.7,mb,11,143.7,,0.77,us,usp000fwak,2014-11-07T01:34:39.230Z,western Xizang,earthquake,,,,1,reviewed,us,us
2008-01-09T08:26:45.490Z,32.288,85.166,10,6.4,mwc,485,13.9,,0.89,us,usp000fwaj,2022-05-02T20:57:36.316Z,western Xizang,earthquake,,,,,reviewed,us,us
2007-11-18T05:49:22.480Z,29.318,92.296,10,4.8,mb,18,141.5,,1.25,us,usp000fsu1,2014-11-07T01:34:11.700Z,"121 km ESE of Lhasa, China",earthquake,,,,4,reviewed,us,us
2007-11-13T17:51:00.140Z,30.084,83.267,35,4.2,mb,11,145.5,,1.7,us,usp000fsg3,2014-11-07T01:34:10.033Z,"137 km NE of Jumla, Nepal",earthquake,,,,2,reviewed,us,us
2007-11-09T18:05:57.270Z,29.27,91.905,35,4.5,mb,9,143.6,,1.32,us,usp000fs97,2014-11-07T01:34:08.869Z,"88 km ESE of Lhasa, China",earthquake,,,,1,reviewed,us,us
2007-11-08T04:42:11.480Z,29.279,78.414,10,3.7,mb,19,168.3,,0.69,us,usp000fs5v,2014-11-07T01:34:08.388Z,"5 km SSE of Nihtaur, India",earthquake,,,,1,reviewed,us,us
2007-11-07T01:30:25.690Z,28.021,87.036,75.8,3.7,mb,26,64.4,,0.85,us,usp000fs3b,2014-11-07T01:34:07.943Z,"22 km ENE of Lobujya, Nepal",earthquake,,6.5,,5,reviewed,us,us
2007-11-06T01:23:53.340Z,29.48,92.353,35,4.5,mb,14,131.9,,0.71,us,usp000fs1c,2014-11-07T01:34:07.537Z,"122 km E of Lhasa, China",earthquake,,,,2,reviewed,us,us
2007-11-05T17:32:26.800Z,28.2,84.453,2,4.3,mb,23,67.8,,,us,usp000fs0t,2014-11-07T01:34:07.448Z,"48 km E of Pokhara, Nepal",earthquake,,,,1,reviewed,dmn,us
2007-10-29T19:39:56.580Z,29.348,92.191,10,4.1,mb,17,141.8,,1.07,us,usp000frja,2014-11-07T01:34:01.088Z,"110 km ESE of Lhasa, China",earthquake,,,,4,reviewed,us,us
2007-10-29T09:49:21.150Z,27.945,85.38,16.1,4.7,mb,58,59.1,,0.96,us,usp000frhm,2022-07-14T01:43:46.412Z,"27 km NNE of Kathmandu, Nepal",earthquake,,3.9,,18,reviewed,us,us
2007-10-29T04:54:40.540Z,29.392,92.343,39.8,4.5,mb,15,132.2,,0.84,us,usp000frh7,2014-11-07T01:34:00.391Z,"123 km ESE of Lhasa, China",earthquake,,20,,2,reviewed,us,us
2007-10-18T22:19:00.580Z,29.833,82.065,35,4.2,mb,15,149,,1.25,us,usp000fqv6,2014-11-07T01:33:57.292Z,"62 km N of Jumla, Nepal",earthquake,,,,1,reviewed,us,us
2007-10-18T05:54:42.400Z,27.794,77.614,10,4.7,ml,12,220.7,,,us,usp000fqtm,2020-09-18T21:51:05.400Z,"13 km NE of Chh?ta, India",earthquake,,,,,reviewed,dmn,dmn
2007-10-13T14:31:42.230Z,32.251,82.763,35,3.4,mb,7,196.9,,0.99,us,usp000fqfb,2014-11-07T01:33:55.456Z,"264 km NE of Burang, China",earthquake,,,,1,reviewed,us,us
2007-09-01T01:33:16.100Z,27.853,87.873,73.1,4,mb,24,73.6,,0.75,us,usp000fm3z,2014-11-07T01:33:27.181Z,"73 km NNW of Gyalshing, India",earthquake,,6.7,,1,reviewed,us,us
2007-08-26T11:30:50.250Z,30.033,89.214,15.1,4.8,mb,60,128.6,,0.77,us,usp000fkqq,2014-11-07T01:33:23.101Z,"92 km NNE of Rikaze, China",earthquake,,,,19,reviewed,us,us
2007-08-15T02:58:25.590Z,31.284,85.346,71,4,mb,25,144.5,,1,us,usp000fjqr,2014-11-07T01:33:16.110Z,"217 km N of Saga, China",earthquake,,14,,6,reviewed,us,us
2007-08-11T14:35:54.820Z,27.344,87.737,35,5,mb,162,77.5,,0.73,us,usp000fjdy,2022-07-14T04:52:09.068Z,"51 km NNW of Il?m, Nepal",earthquake,,,,73,reviewed,us,us
2007-08-09T20:33:46.250Z,31.343,80.155,10,4.5,mb,17,89.2,,0.89,us,usp000fj9j,2014-11-07T01:33:13.821Z,"103 km NNE of Josh?math, India",earthquake,,,,3,reviewed,us,us
2007-08-07T10:11:40.920Z,30.97,78.116,10,3.8,mb,12,146,,1.14,us,usp000fj3d,2014-11-07T01:33:12.914Z,"19 km NNW of Barkot, India",earthquake,,,,1,reviewed,us,us
2007-08-03T03:50:52.650Z,27.196,86.932,64,4.3,mb,34,145.9,,0.83,us,usp000fhsf,2014-11-07T01:33:11.383Z,"11 km WNW of Bhojpur, Nepal",earthquake,,15,,15,reviewed,us,us
2007-08-01T15:17:52.780Z,29.213,82.196,10,4.5,mb,43,64.2,,1.22,us,usp000fhm3,2014-11-07T01:33:08.950Z,"6 km S of Jumla, Nepal",earthquake,,,,5,reviewed,us,us
2007-07-25T03:34:34.920Z,30.123,89.309,10,3.8,mb,16,96.4,,1.15,us,usp000fh1q,2014-11-07T01:33:03.355Z,"105 km NNE of Rikaze, China",earthquake,,,,3,reviewed,us,us
2007-07-22T23:02:14.790Z,30.881,78.239,19,5.1,mb,179,52,,0.74,us,usp000fgwd,2022-05-02T20:22:28.209Z,"Uttaranchal, India",earthquake,,14.9,,88,reviewed,us,us
2007-07-20T04:44:58.880Z,30.208,89.426,10,4,mb,10,132.9,,1.32,us,usp000fgpp,2014-11-07T01:33:00.964Z,"118 km NNE of Rikaze, China",earthquake,,,,2,reviewed,us,us
2007-07-14T07:51:38.460Z,31.765,88.628,51.1,4.6,mb,26,137.2,,0.88,us,usp000fg4v,2014-11-07T01:32:57.383Z,"279 km N of Rikaze, China",earthquake,,12.3,,4,reviewed,us,us
2007-06-24T08:12:48.420Z,29.932,88.109,10,3.8,mb,7,218.7,,0.62,us,usp000feqd,2014-11-07T01:32:45.484Z,"106 km NW of Rikaze, China",earthquake,,,,1,reviewed,us,us
2007-06-20T19:38:14.120Z,30.613,80.601,113.6,3.9,mb,7,200.4,,1.22,us,usp000fef4,2014-11-07T01:32:44.211Z,"65 km WNW of Burang, China",earthquake,,42.2,,1,reviewed,us,us
2007-06-09T07:07:39.820Z,30.053,88.209,10,3.6,mb,8,185.9,,0.85,us,usp000fdpc,2014-11-07T01:32:40.630Z,"110 km NW of Rikaze, China",earthquake,,,,2,reviewed,us,us
2007-06-03T08:09:52.040Z,31.412,77.711,30,3.6,mb,9,202.3,,0.42,us,usp000fd9c,2014-11-07T01:32:38.424Z,"8 km ESE of R?mpur, India",earthquake,,,,1,reviewed,us,us
2007-05-25T03:14:25.270Z,31.139,82.623,10,3.6,mb,8,148.2,,0.5,us,usp000fcpq,2014-11-07T01:32:31.576Z,"167 km ENE of Burang, China",earthquake,,,,1,reviewed,us,us
2007-05-25T03:13:52.480Z,31.183,82.751,10,3.7,mb,10,133.6,,0.99,us,usp000fcpp,2014-11-07T01:32:31.574Z,"180 km ENE of Burang, China",earthquake,,,,1,reviewed,us,us
2007-05-23T17:40:44.710Z,27.204,88.253,10,3.5,mb,12,101.7,,0.59,us,usp000fck3,2014-11-07T01:32:31.118Z,"8 km N of Naya B?z?r, India",earthquake,,,,2,reviewed,us,us
2007-05-20T14:18:21.330Z,27.334,88.236,42.8,4.9,mwc,167,76.7,,0.94,us,usp000fccm,2016-11-10T01:40:18.865Z,"5 km NNW of Gyalshing, India",earthquake,,11.4,,,reviewed,us,gcmt
2007-05-18T12:40:01.190Z,27.276,88.147,15.4,4.7,mb,83,70.7,,1.04,us,usp000fc7u,2014-11-07T01:32:29.290Z,"11 km W of Gyalshing, India",earthquake,,18.2,,40,reviewed,us,us
2007-05-16T04:17:27.950Z,27.291,87.851,31.7,4,mb,29,87.6,,0.87,us,usp000fc2e,2014-11-07T01:32:28.542Z,"40 km W of Gyalshing, India",earthquake,,18.8,,6,reviewed,us,us
2007-04-17T07:04:38.040Z,28.262,87.759,72.2,4.1,mb,16,145.2,,0.6,us,usp000f9x4,2014-11-07T01:32:13.007Z,"98 km ENE of Lobujya, Nepal",earthquake,,20.1,,1,reviewed,us,us
2007-04-11T05:21:24.750Z,27.517,92.591,70.7,3.7,mb,10,175.2,,0.47,us,usp000f9ds,2014-11-07T01:32:10.153Z,"32 km NNE of Bomdila, India",earthquake,,16.4,,4,reviewed,us,us
2007-04-06T03:45:41.540Z,28.442,86.462,95.2,3.7,mb,11,145.5,,1.02,us,usp000f8ug,2014-11-07T01:32:07.306Z,"64 km NNW of Lobujya, Nepal",earthquake,,45.8,,1,reviewed,us,us
2007-03-27T11:19:29.320Z,31.012,78.212,35,3.9,mb,12,145.9,,1.13,us,usp000f7mg,2014-11-07T01:31:56.850Z,"22 km N of Barkot, India",earthquake,,,,1,reviewed,us,us
2007-03-14T01:09:50.310Z,27.288,91.329,58.4,3.9,mb,22,162.4,,0.76,us,usp000f6nw,2014-11-07T01:31:52.344Z,"8 km E of Mongar, Bhutan",earthquake,,15.9,,5,reviewed,us,us
2007-03-10T13:25:47.160Z,29.44,81.144,5.8,4.6,mb,55,61.5,,0.95,us,usp000f6ek,2014-11-07T01:31:50.978Z,"28 km NE of Dipayal, Nepal",earthquake,,17.1,,16,reviewed,us,us
2007-02-21T00:33:25.880Z,31.373,77.752,36.6,4.1,mb,34,97.5,,0.97,us,usp000f59e,2014-11-07T01:31:40.436Z,"14 km SE of R?mpur, India",earthquake,,8,,5,reviewed,us,us
2007-02-15T19:09:39.030Z,29.567,81.451,18.7,4.5,mb,68,146.1,,0.99,us,usp000f4xq,2014-11-07T01:31:38.221Z,"60 km NE of Dipayal, Nepal",earthquake,,21.4,,16,reviewed,us,us
2007-02-12T15:53:51.220Z,29.283,80.94,10,3.6,mb,10,198,,0.59,us,usp000f4r4,2014-11-07T01:31:37.047Z,"2 km N of Dipayal, Nepal",earthquake,,,,1,reviewed,us,us
2007-02-06T21:38:59.340Z,27.913,87.622,58.9,4.3,mb,25,72,,0.86,us,usp000f4d5,2014-11-07T01:31:35.195Z,"72 km NE of Kh??db?ri??, Nepal",earthquake,,10.1,,5,reviewed,us,us
2007-02-03T00:51:15.610Z,32.098,78.582,35,4.7,mb,17,119.1,,0.81,us,usp000f45y,2014-11-07T01:31:33.179Z,"99 km NE of Sar?han, India",earthquake,,,,2,reviewed,us,us
2007-01-29T05:28:34.240Z,31.31,80.096,35,3.9,mb,8,249.1,,1.33,us,usp000f3ve,2014-11-07T01:31:28.616Z,"97 km NNE of Josh?math, India",earthquake,,,,1,reviewed,us,us
2007-01-20T17:51:45.180Z,31.038,82.73,10,4.6,mb,38,92.3,,1.28,us,usp000f32y,2014-11-07T01:31:24.854Z,"170 km ENE of Burang, China",earthquake,,,,9,reviewed,us,us
2007-01-20T17:51:09.600Z,31.062,82.813,0.8,4.4,mb,31,80,,0.98,us,usp000f32x,2014-11-07T01:31:24.851Z,"178 km ENE of Burang, China",earthquake,,19.2,,8,reviewed,us,us
2006-12-31T21:36:54.070Z,28.216,88.232,35,4.1,mb,34,118.5,,1.32,us,usp000f1fb,2014-11-07T01:31:13.739Z,"83 km NNW of Mangan, India",earthquake,,,,9,reviewed,us,us
2006-12-31T00:52:10.480Z,30.082,83.732,10,3.7,mb,10,163.6,,1.26,us,usp000f1cu,2014-11-07T01:31:13.503Z,"167 km WNW of Saga, China",earthquake,,,,1,reviewed,us,us
2006-12-27T01:54:56.710Z,31.26,93.43,24.1,3.5,mb,18,73.8,,0.93,us,usp000f138,2014-11-07T01:31:12.163Z,"132 km E of Nagqu, China",earthquake,,29.6,,3,reviewed,us,us
2006-11-12T13:46:32.690Z,29.82,80.655,35,3.8,mb,8,197.8,,0.45,us,usp000ex7p,2014-11-07T01:30:48.258Z,"10 km E of D?rchul?, Nepal",earthquake,,,,2,reviewed,us,us
2006-10-28T10:58:15.020Z,31.145,87.981,63.6,3.5,mb,6,195.2,,0.47,us,usp000ew65,2014-11-07T01:30:38.470Z,"227 km NNW of Rikaze, China",earthquake,,31.7,,1,reviewed,us,us
2006-10-27T07:55:01.980Z,29.875,80.035,10,4.2,mb,22,69.4,,1.09,us,usp000ew43,2014-11-07T01:30:38.246Z,"25 km E of B?geshwar, India",earthquake,,,,3,reviewed,us,us
2006-10-27T01:07:32.960Z,29.854,80.545,38.8,4.1,mb,16,87.3,,0.83,us,usp000ew3p,2014-11-07T01:30:38.199Z,"2 km ENE of Dh?rchula, India",earthquake,,12.7,,1,reviewed,us,us
2006-10-22T04:08:13.420Z,30.601,83.584,10,4.3,mb,20,135,,0.95,us,usp000evrs,2014-11-07T01:30:36.869Z,"199 km NE of Jumla, Nepal",earthquake,,,,5,reviewed,us,us
2006-10-20T01:25:37.340Z,27.396,92.27,35,3.8,mb,12,165.6,,0.19,us,usp000evjq,2014-11-07T01:30:36.102Z,"21 km NW of Bomdila, India",earthquake,,,,4,reviewed,us,us
2006-10-14T01:18:59.520Z,27.165,92.176,35,3.7,mb,6,249.8,,0.8,us,usp000ev57,2014-11-07T01:30:33.869Z,"27 km WSW of Bomdila, India",earthquake,,,,1,reviewed,us,us
2006-10-04T21:34:53.630Z,29.729,80.366,10,3.9,mb,10,149.4,,0.89,us,usp000eugj,2014-11-07T01:30:30.373Z,"19 km SW of Dh?rchula, India",earthquake,,,,1,reviewed,us,us
2006-09-26T04:04:20.120Z,29.76,80.521,6.6,4.7,mb,47,84.7,,0.8,us,usp000etue,2014-11-07T01:30:16.842Z,"8 km SSW of D?rchul?, Nepal",earthquake,,20.2,,12,reviewed,us,us
2006-09-19T06:56:44.570Z,29.49,81.569,27.7,4.7,mb,103,97.6,,0.74,us,usp000etd4,2014-11-07T01:30:15.079Z,"64 km WNW of Jumla, Nepal",earthquake,,18.9,,41,reviewed,us,us
2006-08-30T18:25:00.600Z,29.052,83.602,10,4.5,ml,23,74.9,,,us,usp000es41,2014-11-07T01:30:03.357Z,"69 km N of Chitre, Nepal",earthquake,,,,,reviewed,dmn,dmn
2006-08-30T06:50:12.720Z,32.216,93.498,23.5,4.2,mb,15,108.8,,0.84,us,usp000es30,2014-11-07T01:30:03.265Z,"159 km ENE of Nagqu, China",earthquake,,29,,2,reviewed,us,us
2006-08-05T07:33:02.490Z,29.887,80.098,10,4.5,mb,61,57.1,,0.87,us,usp000eq9d,2014-11-07T01:29:54.485Z,"32 km E of B?geshwar, India",earthquake,,,,19,reviewed,us,us
2006-07-20T16:52:35.270Z,30.171,83.675,10,4.3,mb,30,86.8,,0.91,us,usp000ep6q,2014-11-07T01:29:43.702Z,"175 km NE of Jumla, Nepal",earthquake,,,,11,reviewed,us,us
2006-07-20T07:52:29.800Z,31.58,77.928,10,3.5,mb,8,145.7,,0.49,us,usp000ep60,2014-11-07T01:29:43.623Z,"14 km ENE of Sar?han, India",earthquake,,,,1,reviewed,us,us
2006-07-20T00:35:00.180Z,31.604,77.905,35,3.5,mb,13,145.7,,0.87,us,usp000ep53,2014-11-07T01:29:43.535Z,"14 km NE of Sar?han, India",earthquake,,,,4,reviewed,us,us
2006-07-20T00:10:58.240Z,31.642,78.038,35,4,mb,21,104.2,,1.03,us,usp000ep50,2014-11-07T01:29:43.508Z,"27 km ENE of Sar?han, India",earthquake,,,,9,reviewed,us,us
2006-07-17T13:47:48.360Z,26.744,89.432,10,4.1,mb,18,127.9,,0.99,us,usp000enu7,2014-11-07T01:29:41.581Z,"7 km E of H?sim?ra, India",earthquake,,,,1,reviewed,us,us
2006-05-29T16:09:08.730Z,30.186,84.212,10,4,mb,7,204.3,,1.24,us,usp000ej8b,2014-11-07T01:29:12.776Z,"136 km NW of Saga, China",earthquake,,,,3,reviewed,us,us
2006-05-13T05:40:13.240Z,30.988,83.592,55.1,3.9,mb,15,164,,0.88,us,usp000egzz,2014-11-07T01:29:06.361Z,"233 km NE of Jumla, Nepal",earthquake,,14.8,,2,reviewed,us,us
2006-05-05T08:49:48.250Z,29.384,80.705,35,3.9,mb,14,184,,1.36,us,usp000egb6,2014-11-07T01:29:03.341Z,"15 km NE of Dadeldhur?, Nepal",earthquake,,0,,3,reviewed,us,us
2006-05-05T08:00:28.780Z,29.504,80.998,17.6,5,mb,111,100.5,,0.74,us,usp000egaz,2022-05-02T18:18:48.079Z,"27 km NNE of Dipayal, Nepal",earthquake,,,,68,reviewed,us,us
2006-04-27T00:49:24.250Z,31.674,90.541,41.1,4.4,mb,52,83.4,,0.74,us,usp000efk8,2014-11-07T01:28:55.351Z,"145 km W of Nagqu, China",earthquake,,8.8,,25,reviewed,us,us
2006-04-19T21:21:21.540Z,31.664,90.578,10,3.9,mb,12,130.8,,0.87,us,usp000eeyg,2014-11-07T01:28:52.280Z,"141 km W of Nagqu, China",earthquake,,,,4,reviewed,us,us
2006-04-19T21:05:42.990Z,31.607,90.413,33.1,5.7,mwc,193,45.1,,1.01,us,usp000eeyf,2022-05-02T15:29:39.978Z,"156 km W of Nagqu, China",earthquake,,17.8,,,reviewed,us,hrv
2006-04-15T13:39:06.180Z,29.48,81.157,45,3.5,mb,8,133.2,,1.56,us,usp000eekq,2014-11-07T01:28:50.570Z,"32 km NE of Dipayal, Nepal",earthquake,,0,,1,reviewed,us,us
2006-04-11T14:15:20.780Z,28.14,87.407,54.3,3.5,mb,13,155.5,,0.73,us,usp000ee70,2014-11-07T01:28:46.292Z,"61 km ENE of Lobujya, Nepal",earthquake,,15.8,,2,reviewed,us,us
2006-04-11T03:54:06.590Z,27.271,92.237,48.7,4.1,mb,32,136.8,,0.89,us,usp000ee5p,2014-11-07T01:28:46.102Z,"18 km W of Bomdila, India",earthquake,,8.1,,5,reviewed,us,us
2006-04-04T08:23:05.760Z,28.051,85.789,2.7,4.1,mb,25,51.8,,1.37,us,usp000ednq,2014-11-07T01:28:43.060Z,"19 km WNW of Kod?ri??, Nepal",earthquake,,10.6,,7,reviewed,us,us
2006-04-01T11:12:47.430Z,30.851,87.651,10,3.9,mb,12,155.1,,0.77,us,usp000eded,2014-11-07T01:28:41.196Z,western Xizang,earthquake,,,,4,reviewed,us,us
