sim_id,time_pred,latitude_pred,longitude_pred
1,2009-10,31.44150210661191,85.73422680869268
1,2010-01,28.949230758320248,87.716876691417
1,2010-03,30.296547966007193,88.1482369969282
1,2010-07,30.21580294927773,88.12587076393825
1,2010-03,28.513437636783497,82.58075424360959
1,2010-03,30.003300134265537,81.77263478330588
1,2010-03,29.835425999393046,90.3774011750746
1,2011-01,29.771824882119102,90.39306145774074
1,2010-04,31.32503388225437,85.7091379509997
1,2010-05,30.78727553058365,79.24596524587099
1,2010-05,29.85992937796939,87.99784094456439
1,2010-10,29.887970921581427,88.03361287543629
1,2010-06,27.24839467511002,86.62947877080956
1,2010-07,31.848366862334338,81.14306058648938
1,2010-12,30.361344490749662,82.6452847942479
1,2011-02,27.333196465881194,88.11074790909181
1,2011-02,29.836025906106553,90.50695813867246
1,2011-07,29.043961669077174,81.4380578280413
1,2011-07,29.24502330000763,81.63734921120044
1,2011-10,29.215546714668445,81.69733544085116
1,2011-08,30.79419707831048,86.76692998893357
1,2011-09,28.68418393752561,82.22025589328469
1,2011-10,31.5432658734759,85.73718849738272
1,2011-10,31.593237172401786,82.39982953544842
2,2009-11,30.161490693601863,79.2940856042986
2,2010-08,30.203543504174924,79.32995925247268
2,2009-12,29.835863727868873,90.2555089318807
2,2010-01,29.45909131535721,80.95926478913228
2,2010-02,29.502577554012884,80.9868012360053
2,2010-01,30.048050301293078,88.5476460023407
2,2010-01,30.021755350110084,88.62169839399397
2,2010-02,30.191064747574636,89.95396261302946
2,2010-03,27.603615761107076,87.48523786069586
2,2010-03,27.329879943385922,92.59362720093615
2,2010-04,29.752204206835945,90.4044067758257
2,2010-09,29.719749048902777,90.40476861411766
2,2010-04,30.254731566067537,87.96050320655424
2,2010-07,30.261314302954045,88.07033596603067
2,2010-06,31.122335266399105,85.81769094659928
2,2010-07,31.072826045581163,85.89210238141844
2,2010-06,30.019847738238607,88.05161447350153
2,2010-09,30.137301253211803,86.470717990383
2,2010-09,30.18259430549933,86.60236365067009
2,2010-10,30.177373476864762,86.5724054598934
2,2010-10,27.82039151488674,86.04770607969623
2,2010-11,29.421089699477175,80.9095427265882
2,2010-12,30.045365248343703,88.08796601875083
2,2011-01,29.988449828430905,88.03462516587962
2,2010-12,29.391729703175287,81.5988340833785
2,2011-06,29.468901019273517,81.67376385279923
2,2011-02,28.902354352374118,87.7405908465005
2,2011-05,30.030547576979835,90.00220994854291
2,2011-05,30.250236660876862,88.22685374924117
2,2011-09,30.07128536083563,88.14657772883618
2,2011-10,28.54749155975575,83.99678155381265
3,2009-11,29.89418549122075,88.14141548712337
3,2009-12,31.698056123773075,78.1747451386126
3,2010-02,31.71527540237646,78.12337513876172
3,2010-01,28.51282987885914,87.409993105648
3,2010-12,28.57493993426753,87.38621746818127
